2005-11-25 - 15:42:03,093  Edit
2005-11-28 - 12:10:38,781  1024
2005-11-28 - 12:10:38,781  768
2005-11-28 - 12:10:39,390  1024
2005-11-28 - 12:10:39,390  768
2005-11-28 - 12:10:39,828  1024
2005-11-28 - 12:10:39,828  768
2005-11-28 - 12:10:40,375  1024
2005-11-28 - 12:10:40,375  768
2005-11-28 - 12:10:40,375  1281
2005-11-28 - 12:10:49,203  512
2005-11-28 - 12:11:04,734  256
2005-11-28 - 12:11:05,500  1024
2005-11-28 - 12:11:05,500  768
2005-11-28 - 12:11:05,500  1024
2005-11-28 - 12:11:05,500  768
2005-11-28 - 12:11:05,609  1024
2005-11-28 - 12:11:05,609  768
2005-11-28 - 12:11:05,609  1024
2005-11-28 - 12:11:05,609  768
2005-11-28 - 12:11:05,718  1024
2005-11-28 - 12:11:05,718  768
2005-11-28 - 12:11:05,718  1024
2005-11-28 - 12:11:05,718  768
2005-11-28 - 12:11:05,718  1024
2005-11-28 - 12:11:05,718  768
2005-11-28 - 12:11:05,734  1024
2005-11-28 - 12:11:05,734  768
2005-11-28 - 12:11:05,734  1024
2005-11-28 - 12:11:05,734  768
2005-11-28 - 12:11:06,265  1024
2005-11-28 - 12:11:06,265  768
2005-11-28 - 12:11:20,171  512
2005-11-28 - 12:11:57,000  85
2005-11-28 - 12:11:57,000  72
2005-11-28 - 12:11:57,031  89
2005-11-28 - 12:11:57,390  79
2005-11-28 - 12:11:57,406  73
2005-11-28 - 12:11:57,421  65
2005-11-28 - 12:11:57,421  83
2005-11-28 - 12:11:57,421  68
2005-11-28 - 12:11:57,437  70
2005-11-28 - 12:11:57,750  79
2005-11-28 - 12:11:57,765  73
2005-11-28 - 12:11:57,781  65
2005-11-28 - 12:11:57,781  74
2005-11-28 - 12:56:47,937  13
2005-11-28 - 12:56:48,671  13
2005-11-28 - 13:01:24,078  1
2005-11-28 - 13:01:41,406  1
2005-11-28 - 13:05:16,484  1
2005-11-28 - 13:07:13,171  1
2005-11-28 - 13:09:10,968  1
2005-11-28 - 13:10:37,812  1
2005-11-28 - 13:12:20,375  2
2005-11-28 - 13:12:50,171  1
2005-11-28 - 13:34:28,734  2
2005-11-28 - 13:34:29,906  2
2005-11-28 - 13:37:17,281  256
2005-11-28 - 13:37:18,359  1024
2005-11-28 - 13:37:18,359  768
2005-11-28 - 13:37:18,375  1024
2005-11-28 - 13:37:18,375  768
2005-11-28 - 13:37:18,515  1024
2005-11-28 - 13:37:18,515  768
2005-11-28 - 13:37:18,609  1024
2005-11-28 - 13:37:18,609  768
2005-11-28 - 13:37:18,625  1024
2005-11-28 - 13:37:18,625  768
2005-11-28 - 13:37:18,750  1024
2005-11-28 - 13:37:18,750  768
2005-11-28 - 13:37:21,468  1024
2005-11-28 - 13:37:21,468  768
2005-11-28 - 13:37:24,656  512
2005-11-28 - 13:38:51,000  EN_CHANGE
2005-11-28 - 13:39:31,765  EN_UPDATE
2005-11-28 - 13:39:31,765  EN_CHANGE
2005-11-28 - 13:39:35,062  EN_UPDATE
2005-11-28 - 13:39:35,062  EN_CHANGE
2005-11-28 - 13:39:35,062  EN_UPDATE
2005-11-28 - 13:39:35,062  EN_CHANGE
2005-11-28 - 13:39:37,015  EN_UPDATE
2005-11-28 - 13:39:37,015  EN_CHANGE
2005-11-28 - 13:39:37,500  EN_UPDATE
2005-11-28 - 13:39:37,500  EN_CHANGE
2005-11-28 - 13:39:37,890  EN_UPDATE
2005-11-28 - 13:39:37,890  EN_CHANGE
2005-11-28 - 13:39:38,359  EN_UPDATE
2005-11-28 - 13:39:38,359  EN_CHANGE
2005-11-28 - 13:39:38,671  EN_UPDATE
2005-11-28 - 13:39:38,671  EN_CHANGE
2005-11-28 - 13:39:38,921  EN_UPDATE
2005-11-28 - 13:39:38,921  EN_CHANGE
2005-11-28 - 13:39:39,078  EN_UPDATE
2005-11-28 - 13:39:39,078  EN_CHANGE
2005-11-28 - 13:39:39,203  EN_UPDATE
2005-11-28 - 13:39:39,203  EN_CHANGE
2005-11-28 - 13:39:39,562  EN_UPDATE
2005-11-28 - 13:39:39,562  EN_CHANGE
2005-11-28 - 13:39:39,687  EN_UPDATE
2005-11-28 - 13:39:39,687  EN_CHANGE
2005-11-28 - 13:39:39,890  EN_UPDATE
2005-11-28 - 13:39:39,890  EN_CHANGE
2005-11-28 - 13:39:39,937  EN_UPDATE
2005-11-28 - 13:39:39,937  EN_CHANGE
2005-11-28 - 13:39:39,953  EN_UPDATE
2005-11-28 - 13:39:39,968  EN_CHANGE
2005-11-28 - 13:39:40,171  EN_UPDATE
2005-11-28 - 13:39:40,171  EN_CHANGE
2005-11-28 - 13:39:40,171  EN_UPDATE
2005-11-28 - 13:39:40,171  EN_CHANGE
2005-11-28 - 13:39:40,328  EN_UPDATE
2005-11-28 - 13:39:40,328  EN_CHANGE
2005-11-28 - 13:39:40,328  EN_UPDATE
2005-11-28 - 13:39:40,328  EN_CHANGE
2005-11-28 - 13:39:40,578  EN_UPDATE
2005-11-28 - 13:39:40,578  EN_CHANGE
2005-11-28 - 13:39:40,781  EN_UPDATE
2005-11-28 - 13:39:40,781  EN_CHANGE
2005-11-28 - 13:39:40,875  EN_UPDATE
2005-11-28 - 13:39:40,875  EN_CHANGE
2005-11-28 - 13:39:41,093  EN_UPDATE
2005-11-28 - 13:39:41,093  EN_CHANGE
2005-11-28 - 13:39:41,281  EN_UPDATE
2005-11-28 - 13:39:41,281  EN_CHANGE
2005-11-28 - 13:39:41,562  EN_UPDATE
2005-11-28 - 13:39:41,562  EN_CHANGE
2005-11-28 - 13:39:41,671  EN_UPDATE
2005-11-28 - 13:39:41,671  EN_CHANGE
2005-11-28 - 13:39:41,703  EN_UPDATE
2005-11-28 - 13:39:41,703  EN_CHANGE
2005-11-28 - 13:39:41,843  EN_UPDATE
2005-11-28 - 13:39:41,843  EN_CHANGE
2005-11-28 - 13:39:42,062  EN_UPDATE
2005-11-28 - 13:39:42,078  EN_CHANGE
2005-11-28 - 13:39:42,078  EN_UPDATE
2005-11-28 - 13:39:42,078  EN_CHANGE
2005-11-28 - 13:39:42,078  EN_UPDATE
2005-11-28 - 13:39:42,078  EN_CHANGE
2005-11-28 - 13:39:42,281  EN_UPDATE
2005-11-28 - 13:39:42,281  EN_CHANGE
2005-11-28 - 13:39:42,281  EN_UPDATE
2005-11-28 - 13:39:42,281  EN_CHANGE
2005-11-28 - 13:39:42,640  EN_UPDATE
2005-11-28 - 13:39:42,640  EN_CHANGE
2005-11-28 - 13:39:42,937  EN_UPDATE
2005-11-28 - 13:39:42,937  EN_CHANGE
2005-11-28 - 13:39:42,984  EN_UPDATE
2005-11-28 - 13:39:42,984  EN_CHANGE
2005-11-28 - 13:39:43,234  EN_UPDATE
2005-11-28 - 13:39:43,234  EN_CHANGE
2005-11-28 - 13:39:43,500  EN_UPDATE
2005-11-28 - 13:39:43,500  EN_CHANGE
2005-11-28 - 13:39:43,578  EN_UPDATE
2005-11-28 - 13:39:43,578  EN_CHANGE
2005-11-28 - 13:39:43,781  EN_UPDATE
2005-11-28 - 13:39:43,781  EN_CHANGE
2005-11-28 - 13:39:43,921  EN_UPDATE
2005-11-28 - 13:39:43,921  EN_CHANGE
2005-11-28 - 13:39:44,062  EN_UPDATE
2005-11-28 - 13:39:44,062  EN_CHANGE
2005-11-28 - 13:39:44,203  EN_UPDATE
2005-11-28 - 13:39:44,203  EN_CHANGE
2005-11-28 - 13:39:44,421  EN_UPDATE
2005-11-28 - 13:39:44,421  EN_CHANGE
2005-11-28 - 13:39:44,437  EN_UPDATE
2005-11-28 - 13:39:44,437  EN_CHANGE
2005-11-28 - 13:39:44,781  EN_UPDATE
2005-11-28 - 13:39:44,781  EN_CHANGE
2005-11-28 - 13:39:44,968  EN_UPDATE
2005-11-28 - 13:39:44,968  EN_CHANGE
2005-11-28 - 13:39:45,062  EN_UPDATE
2005-11-28 - 13:39:45,062  EN_CHANGE
2005-11-28 - 13:39:45,218  EN_UPDATE
2005-11-28 - 13:39:45,218  EN_CHANGE
2005-11-28 - 13:39:45,484  EN_UPDATE
2005-11-28 - 13:39:45,484  EN_CHANGE
2005-11-28 - 13:39:45,531  EN_UPDATE
2005-11-28 - 13:39:45,531  EN_CHANGE
2005-11-28 - 13:39:45,656  EN_UPDATE
2005-11-28 - 13:39:45,656  EN_CHANGE
2005-11-28 - 13:39:45,828  EN_UPDATE
2005-11-28 - 13:39:45,828  EN_CHANGE
2005-11-28 - 13:39:46,156  EN_UPDATE
2005-11-28 - 13:39:46,156  EN_CHANGE
2005-11-28 - 13:39:46,265  EN_UPDATE
2005-11-28 - 13:39:46,265  EN_CHANGE
2005-11-28 - 13:39:46,328  EN_UPDATE
2005-11-28 - 13:39:46,328  EN_CHANGE
2005-11-28 - 13:39:46,406  EN_UPDATE
2005-11-28 - 13:39:46,406  EN_CHANGE
2005-11-28 - 13:39:46,703  EN_UPDATE
2005-11-28 - 13:39:46,703  EN_CHANGE
2005-11-28 - 13:39:46,796  EN_UPDATE
2005-11-28 - 13:39:46,796  EN_CHANGE
2005-11-28 - 13:39:46,843  EN_UPDATE
2005-11-28 - 13:39:46,843  EN_CHANGE
2005-11-28 - 13:39:47,125  EN_UPDATE
2005-11-28 - 13:39:47,125  EN_CHANGE
2005-11-28 - 13:39:47,609  EN_UPDATE
2005-11-28 - 13:39:47,609  EN_CHANGE
2005-11-28 - 13:39:47,656  EN_UPDATE
2005-11-28 - 13:39:47,656  EN_CHANGE
2005-11-28 - 13:39:47,953  EN_UPDATE
2005-11-28 - 13:39:47,953  EN_CHANGE
2005-11-28 - 13:39:48,265  EN_UPDATE
2005-11-28 - 13:39:48,265  EN_CHANGE
2005-11-28 - 13:39:48,453  EN_UPDATE
2005-11-28 - 13:39:48,453  EN_CHANGE
2005-11-28 - 13:39:48,640  EN_UPDATE
2005-11-28 - 13:39:48,640  EN_CHANGE
2005-11-28 - 13:39:48,796  EN_UPDATE
2005-11-28 - 13:39:48,796  EN_CHANGE
2005-11-28 - 13:39:49,031  EN_UPDATE
2005-11-28 - 13:39:49,031  EN_CHANGE
2005-11-28 - 13:39:49,562  EN_UPDATE
2005-11-28 - 13:39:49,578  EN_CHANGE
2005-11-28 - 13:39:49,953  EN_UPDATE
2005-11-28 - 13:39:49,953  EN_CHANGE
2005-11-28 - 13:39:50,218  EN_UPDATE
2005-11-28 - 13:39:50,218  EN_CHANGE
2005-11-28 - 13:39:50,359  EN_UPDATE
2005-11-28 - 13:39:50,359  EN_CHANGE
2005-11-28 - 13:39:50,500  EN_UPDATE
2005-11-28 - 13:39:50,500  EN_CHANGE
2005-11-28 - 13:39:50,640  EN_UPDATE
2005-11-28 - 13:39:50,640  EN_CHANGE
2005-11-28 - 13:39:50,796  EN_UPDATE
2005-11-28 - 13:39:50,796  EN_CHANGE
2005-11-28 - 13:39:51,015  EN_UPDATE
2005-11-28 - 13:39:51,046  EN_CHANGE
2005-11-28 - 13:39:51,609  EN_UPDATE
2005-11-28 - 13:39:51,609  EN_CHANGE
2005-11-28 - 13:39:54,968  EN_UPDATE
2005-11-28 - 13:39:54,968  EN_CHANGE
2005-11-28 - 13:39:56,250  EN_UPDATE
2005-11-28 - 13:39:56,250  EN_CHANGE
2005-11-28 - 13:39:57,265  EN_UPDATE
2005-11-28 - 13:39:57,265  EN_CHANGE
2005-11-28 - 13:39:58,109  EN_UPDATE
2005-11-28 - 13:39:58,109  EN_CHANGE
2005-11-28 - 13:39:58,640  EN_UPDATE
2005-11-28 - 13:39:58,640  EN_CHANGE
2005-11-28 - 13:39:59,312  EN_UPDATE
2005-11-28 - 13:39:59,312  EN_CHANGE
2005-11-28 - 13:40:00,109  EN_UPDATE
2005-11-28 - 13:40:00,109  EN_CHANGE
2005-11-28 - 13:40:00,687  EN_UPDATE
2005-11-28 - 13:40:00,687  EN_CHANGE
2005-11-28 - 13:40:01,218  EN_UPDATE
2005-11-28 - 13:40:01,218  EN_CHANGE
2005-11-28 - 13:40:02,031  EN_UPDATE
2005-11-28 - 13:40:02,031  EN_CHANGE
2005-11-28 - 13:40:59,812  453051647
2005-11-28 - 13:40:59,843  385945191
2005-11-28 - 13:40:59,843  -1744761137
2005-11-28 - 13:40:59,843  -385806878
2005-11-28 - 13:40:59,843  989925555
2005-11-28 - 13:40:59,843  2130773644
2005-11-28 - 13:40:59,843  637603488
2005-11-28 - 13:40:59,843  1174474694
2005-11-28 - 13:40:59,843  704709889
2005-11-28 - 13:40:59,843  -1006564201
2005-11-28 - 13:40:59,859  520163312
2005-11-28 - 13:40:59,859  -1476326268
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,859  1946225434
2005-11-28 - 13:40:59,875  1946225434
2005-11-28 - 13:40:59,875  1946225434
2005-11-28 - 13:40:59,875  1946225434
2005-11-28 - 13:40:59,875  1946225434
2005-11-28 - 13:40:59,875  1946225434
2005-11-28 - 13:40:59,875  1946225434
2005-11-28 - 13:40:59,875  838930044
2005-11-28 - 13:40:59,875  1946225434
2005-11-28 - 13:40:59,875  838930044
2005-11-28 - 13:40:59,875  1946225434
2005-11-28 - 13:40:59,875  838930044
2005-11-28 - 13:40:59,875  1946225434
2005-11-28 - 13:40:59,875  838930044
2005-11-28 - 13:40:59,890  1946225434
2005-11-28 - 13:40:59,890  838930044
2005-11-28 - 13:40:59,890  1946225434
2005-11-28 - 13:40:59,890  838930044
2005-11-28 - 13:40:59,890  1946225434
2005-11-28 - 13:40:59,890  838930044
2005-11-28 - 13:40:59,890  1946225434
2005-11-28 - 13:40:59,890  838930044
2005-11-28 - 13:40:59,890  1946225434
2005-11-28 - 13:40:59,890  838930044
2005-11-28 - 13:40:59,890  1946225434
2005-11-28 - 13:40:59,890  838930044
2005-11-28 - 13:40:59,906  1946225434
2005-11-28 - 13:40:59,906  838930044
2005-11-28 - 13:40:59,906  1946225434
2005-11-28 - 13:40:59,906  838930044
2005-11-28 - 13:40:59,906  1946225434
2005-11-28 - 13:40:59,906  1946225434
2005-11-28 - 13:40:59,906  33623690
2005-11-28 - 13:40:59,906  1946225434
2005-11-28 - 13:40:59,906  33623690
2005-11-28 - 13:40:59,906  1946225434
2005-11-28 - 13:40:59,906  33623690
2005-11-28 - 13:40:59,921  1946225434
2005-11-28 - 13:40:59,921  33623690
2005-11-28 - 13:40:59,921  1946225434
2005-11-28 - 13:40:59,921  33623690
2005-11-28 - 13:40:59,921  1946225434
2005-11-28 - 13:40:59,921  33623690
2005-11-28 - 13:40:59,921  1946225434
2005-11-28 - 13:40:59,921  33623690
2005-11-28 - 13:40:59,937  1946225434
2005-11-28 - 13:40:59,937  33623690
2005-11-28 - 13:40:59,937  1946225434
2005-11-28 - 13:40:59,937  33623690
2005-11-28 - 13:40:59,937  1946225434
2005-11-28 - 13:40:59,937  33623690
2005-11-28 - 13:40:59,937  1946225434
2005-11-28 - 13:40:59,937  1946225434
2005-11-28 - 13:40:59,937  838930044
2005-11-28 - 13:40:59,937  1946225434
2005-11-28 - 13:40:59,937  838930044
2005-11-28 - 13:40:59,937  1946225434
2005-11-28 - 13:40:59,953  838930044
2005-11-28 - 13:40:59,953  1946225434
2005-11-28 - 13:40:59,953  1946225434
2005-11-28 - 13:40:59,953  33623690
2005-11-28 - 13:40:59,953  1946225434
2005-11-28 - 13:40:59,953  33623690
2005-11-28 - 13:40:59,953  1946225434
2005-11-28 - 13:40:59,953  33623690
2005-11-28 - 13:40:59,953  1946225434
2005-11-28 - 13:40:59,953  33623690
2005-11-28 - 13:40:59,953  1946225434
2005-11-28 - 13:40:59,968  33623690
2005-11-28 - 13:40:59,968  1946225434
2005-11-28 - 13:40:59,968  33623690
2005-11-28 - 13:40:59,968  1946225434
2005-11-28 - 13:40:59,968  33623690
2005-11-28 - 13:40:59,968  1946225434
2005-11-28 - 13:40:59,968  33623690
2005-11-28 - 13:40:59,968  1946225434
2005-11-28 - 13:40:59,968  33623690
2005-11-28 - 13:40:59,968  33623690
2005-11-28 - 13:40:59,968  838930044
2005-11-28 - 13:40:59,968  33623690
2005-11-28 - 13:40:59,984  838930044
2005-11-28 - 13:40:59,984  33623690
2005-11-28 - 13:40:59,984  33623690
2005-11-28 - 13:40:59,984  1946225434
2005-11-28 - 13:40:59,984  33623690
2005-11-28 - 13:40:59,984  1946225434
2005-11-28 - 13:40:59,984  33623690
2005-11-28 - 13:40:59,984  1946225434
2005-11-28 - 13:40:59,984  33623690
2005-11-28 - 13:40:59,984  1946225434
2005-11-28 - 13:40:59,984  33623690
2005-11-28 - 13:41:00,000  1946225434
2005-11-28 - 13:41:00,000  33623690
2005-11-28 - 13:41:00,000  1946225434
2005-11-28 - 13:41:00,000  33623690
2005-11-28 - 13:41:00,000  1946225434
2005-11-28 - 13:41:00,000  33623690
2005-11-28 - 13:41:00,000  1946225434
2005-11-28 - 13:41:00,000  33623690
2005-11-28 - 13:41:00,000  1946225434
2005-11-28 - 13:41:00,000  33623690
2005-11-28 - 13:41:00,000  1946225434
2005-11-28 - 13:41:00,000  838930044
2005-11-28 - 13:41:00,015  1946225434
2005-11-28 - 13:41:00,015  838930044
2005-11-28 - 13:41:00,015  1946225434
2005-11-28 - 13:41:00,015  838930044
2005-11-28 - 13:41:00,015  1946225434
2005-11-28 - 13:41:00,015  1946225434
2005-11-28 - 13:41:00,015  33623690
2005-11-28 - 13:41:00,015  1946225434
2005-11-28 - 13:41:00,015  33623690
2005-11-28 - 13:41:00,015  1946225434
2005-11-28 - 13:41:00,015  33623690
2005-11-28 - 13:41:00,031  1946225434
2005-11-28 - 13:41:00,031  33623690
2005-11-28 - 13:41:00,031  1946225434
2005-11-28 - 13:41:00,031  33623690
2005-11-28 - 13:41:00,031  1946225434
2005-11-28 - 13:41:00,031  33623690
2005-11-28 - 13:41:00,031  1946225434
2005-11-28 - 13:41:00,031  33623690
2005-11-28 - 13:41:00,031  1946225434
2005-11-28 - 13:41:00,031  33623690
2005-11-28 - 13:41:00,031  1946225434
2005-11-28 - 13:41:00,046  1946225434
2005-11-28 - 13:41:00,046  838930044
2005-11-28 - 13:41:00,046  1946225434
2005-11-28 - 13:41:00,046  838930044
2005-11-28 - 13:41:00,046  1946225434
2005-11-28 - 13:41:00,046  838930044
2005-11-28 - 13:41:00,046  1946225434
2005-11-28 - 13:41:00,046  838930044
2005-11-28 - 13:41:00,046  1946225434
2005-11-28 - 13:41:00,046  838930044
2005-11-28 - 13:41:00,046  1946225434
2005-11-28 - 13:41:00,046  838930044
2005-11-28 - 13:41:00,062  1946225434
2005-11-28 - 13:41:00,062  838930044
2005-11-28 - 13:41:00,062  1946225434
2005-11-28 - 13:41:00,062  838930044
2005-11-28 - 13:41:00,062  1946225434
2005-11-28 - 13:41:00,062  838930044
2005-11-28 - 13:41:00,062  1946225434
2005-11-28 - 13:41:00,078  838930044
2005-11-28 - 13:41:00,078  1946225434
2005-11-28 - 13:41:00,078  1946225434
2005-11-28 - 13:41:00,078  838930044
2005-11-28 - 13:41:00,078  1946225434
2005-11-28 - 13:41:00,078  838930044
2005-11-28 - 13:41:00,078  1946225434
2005-11-28 - 13:41:00,078  838930044
2005-11-28 - 13:41:00,078  1946225434
2005-11-28 - 13:41:00,078  838930044
2005-11-28 - 13:41:00,078  1946225434
2005-11-28 - 13:41:00,093  838930044
2005-11-28 - 13:41:00,093  1946225434
2005-11-28 - 13:41:00,093  838930044
2005-11-28 - 13:41:00,093  1946225434
2005-11-28 - 13:41:00,093  838930044
2005-11-28 - 13:41:00,093  1946225434
2005-11-28 - 13:41:00,093  838930044
2005-11-28 - 13:41:00,093  1946225434
2005-11-28 - 13:41:00,093  838930044
2005-11-28 - 13:41:00,093  1946225434
2005-11-28 - 13:41:00,093  838930044
2005-11-28 - 13:41:00,109  1946225434
2005-11-28 - 13:41:00,109  838930044
2005-11-28 - 13:41:00,109  838930044
2005-11-28 - 13:41:00,109  33623690
2005-11-28 - 13:41:00,109  838930044
2005-11-28 - 13:41:00,109  33623690
2005-11-28 - 13:41:00,109  838930044
2005-11-28 - 13:41:00,109  33623690
2005-11-28 - 13:41:00,109  838930044
2005-11-28 - 13:41:00,109  33623690
2005-11-28 - 13:41:00,109  838930044
2005-11-28 - 13:41:00,125  33623690
2005-11-28 - 13:41:00,125  838930044
2005-11-28 - 13:41:00,125  33623690
2005-11-28 - 13:41:00,125  838930044
2005-11-28 - 13:41:00,125  838930044
2005-11-28 - 13:41:00,125  33623690
2005-11-28 - 13:41:00,140  838930044
2005-11-28 - 13:41:00,140  838930044
2005-11-28 - 13:41:00,140  1946225434
2005-11-28 - 13:41:00,140  838930044
2005-11-28 - 13:41:00,140  1946225434
2005-11-28 - 13:41:00,140  838930044
2005-11-28 - 13:41:00,140  1946225434
2005-11-28 - 13:41:00,156  838930044
2005-11-28 - 13:41:00,156  1946225434
2005-11-28 - 13:41:00,156  838930044
2005-11-28 - 13:41:00,156  1946225434
2005-11-28 - 13:41:00,156  838930044
2005-11-28 - 13:41:00,156  1946225434
2005-11-28 - 13:41:00,156  838930044
2005-11-28 - 13:41:00,156  1946225434
2005-11-28 - 13:41:00,156  838930044
2005-11-28 - 13:41:00,156  1946225434
2005-11-28 - 13:41:00,171  838930044
2005-11-28 - 13:41:00,171  1946225434
2005-11-28 - 13:41:00,171  838930044
2005-11-28 - 13:41:00,171  1946225434
2005-11-28 - 13:41:00,171  838930044
2005-11-28 - 13:41:00,171  1946225434
2005-11-28 - 13:41:00,171  838930044
2005-11-28 - 13:41:00,171  838930044
2005-11-28 - 13:41:00,171  33623690
2005-11-28 - 13:41:00,171  838930044
2005-11-28 - 13:41:00,171  33623690
2005-11-28 - 13:41:00,187  838930044
2005-11-28 - 13:41:00,187  33623690
2005-11-28 - 13:41:00,187  838930044
2005-11-28 - 13:41:00,187  33623690
2005-11-28 - 13:41:00,187  838930044
2005-11-28 - 13:41:00,187  33623690
2005-11-28 - 13:41:00,187  838930044
2005-11-28 - 13:41:00,203  33623690
2005-11-28 - 13:41:00,203  838930044
2005-11-28 - 13:41:00,203  33623690
2005-11-28 - 13:41:00,203  838930044
2005-11-28 - 13:41:00,203  33623690
2005-11-28 - 13:41:00,203  838930044
2005-11-28 - 13:41:00,203  33623690
2005-11-28 - 13:41:00,203  33623690
2005-11-28 - 13:41:00,203  1946225434
2005-11-28 - 13:41:00,203  33623690
2005-11-28 - 13:41:00,203  1946225434
2005-11-28 - 13:41:00,218  33623690
2005-11-28 - 13:41:00,218  1946225434
2005-11-28 - 13:41:00,218  33623690
2005-11-28 - 13:41:00,218  1946225434
2005-11-28 - 13:41:00,218  33623690
2005-11-28 - 13:41:00,218  1946225434
2005-11-28 - 13:41:00,218  33623690
2005-11-28 - 13:41:00,218  1946225434
2005-11-28 - 13:41:00,218  1946225434
2005-11-28 - 13:41:00,218  33623690
2005-11-28 - 13:41:00,218  33623690
2005-11-28 - 13:41:00,218  1946225434
2005-11-28 - 13:41:00,218  1946225434
2005-11-28 - 13:41:00,218  33623690
2005-11-28 - 13:41:00,218  33623690
